case_id,policy_name,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_independence_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct
P2-011,policy1_step_up_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-012,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-013,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-014,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-015,policy1_step_up_v0.1,4,STOP,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,4,STOP,FRAUDULENT,FRAUDULENT,True
P2-016,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-017,policy1_step_up_v0.1,5,STOP,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,5,STOP,FRAUDULENT,FRAUDULENT,True
P2-018,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,INCONCLUSIVE,NOT_AVAILABLE_TO_POLICY_1,0,3,HUMAN_REVIEW,,LEGITIMATE,
P2-019,policy1_step_up_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-020,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,2,HUMAN_REVIEW,,LEGITIMATE,
P2-021,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-022,policy1_step_up_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-023,policy1_step_up_v0.1,1,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-024,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-025,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,FAIL,NOT_AVAILABLE_TO_POLICY_1,1,3,HUMAN_REVIEW,,FRAUDULENT,
P2-026,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-027,policy1_step_up_v0.1,6,STOP,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,6,STOP,FRAUDULENT,FRAUDULENT,True
P2-028,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,UNAVAILABLE,NOT_AVAILABLE_TO_POLICY_1,0,3,HUMAN_REVIEW,,FRAUDULENT,
P2-029,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-030,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,2,HUMAN_REVIEW,,LEGITIMATE,
P2-031,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,FAIL,NOT_AVAILABLE_TO_POLICY_1,1,4,STOP,FRAUDULENT,FRAUDULENT,True
P2-032,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,2,HUMAN_REVIEW,,LEGITIMATE,
P2-033,policy1_step_up_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-034,policy1_step_up_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-035,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-036,policy1_step_up_v0.1,1,APPROVE,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-037,policy1_step_up_v0.1,6,STOP,False,0,NOT_REQUESTED,NOT_AVAILABLE_TO_POLICY_1,0,6,STOP,FRAUDULENT,FRAUDULENT,True
P2-038,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-039,policy1_step_up_v0.1,3,GET_MORE_EVIDENCE,True,1,INCONCLUSIVE,NOT_AVAILABLE_TO_POLICY_1,0,3,HUMAN_REVIEW,,FRAUDULENT,
P2-040,policy1_step_up_v0.1,2,GET_MORE_EVIDENCE,True,1,PASS,NOT_AVAILABLE_TO_POLICY_1,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True
