case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
CASE-011,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-012,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-013,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-014,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,0,1,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-015,EVALUATION,policy1_step_up_v0.1,NORMAL,NEW_DEVICE_USUAL_LOCATION,NORMAL,0,1,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 1 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 1. Final action: APPROVE.
CASE-016,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
CASE-017,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,GET_MORE_EVIDENCE,True,1,PASS,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
CASE-018,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
CASE-019,EVALUATION,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,1,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
CASE-020,EVALUATION,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,HIGH,0,0,2,2,GET_MORE_EVIDENCE,True,1,PASS,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
