case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,category_reasoning
CASE-001,Birthday group dinner,"The customer usually pays for small meals, but on their birthday they pay a ₹5,000 restaurant bill at a different part of the same city. The known phone is used and there is no burst of attempts.",CORRELATED_SIGNALS,DEVELOPMENT,LEGITIMATE,200,1500,5000,MODERATE,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,"Amount: The bill is clearly above the customer's usual food spending, but it is plausible for a one-time group celebration. Device/location: The same phone is used, while the restaurant is outside the customer's usual spending area. The birthday celebration explains both the unusual location and larger bill. Velocity: One attempt is within the customer's normal hourly activity."
CASE-002,Traveller with replacement phone,"During a planned trip, the customer uses a replacement phone to buy toiletries near the hotel. Both the device and location look unfamiliar, but they share the same legitimate travel explanation.",LEGITIMATE_TRAVEL,DEVELOPMENT,LEGITIMATE,100,1500,850,NORMAL,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The amount is inside the customer's ordinary small-purchase range. Device/location: The phone was replaced shortly before the trip, and the customer is away from their normal area. Velocity: There is only one attempt in the hour."
CASE-003,Large birthday banquet,"A customer whose normal purchases are modest pays ₹30,000 to a banquet venue for a planned family event. The known phone is used, and there is only one attempt.",LARGE_LEGITIMATE_PURCHASE,DEVELOPMENT,LEGITIMATE,300,2000,30000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The transaction is far above the customer's normal range, even though the event makes it plausible. Device/location: The customer uses the usual phone at a venue where they have not paid before. Velocity: A single attempt does not indicate a rapid sequence."
CASE-004,Rapid online shopping,"During a festival sale, the customer buys clothing and household items from several stores within one hour. Each payment is ordinary, but the sequence is much faster than usual.",HIGH_VELOCITY_LEGITIMATE,DEVELOPMENT,LEGITIMATE,200,3000,1200,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,7,HIGH,PASS,Amount: The current purchase is within the normal amount range. Device/location: The normal phone and home location are used. Velocity: Seven attempts are more than twice the usual hourly maximum.
CASE-005,New-device account takeover,"Soon after obtaining the password, an attacker attempts a high-value electronics purchase from an unfamiliar device and location.",CLEAR_FRAUDULENT,DEVELOPMENT,FRAUDULENT,200,3000,18000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,4,ELEVATED,FAIL,Amount: The purchase is far above the customer's usual range. Device/location: Neither the device nor the location matches the customer's history. Velocity: Four attempts are above normal and may reflect retries by the attacker.
CASE-006,Regular electricity-bill payment,The customer pays the electricity provider from home using the same phone and roughly the same amount as previous months.,CLEAR_LEGITIMATE,DEVELOPMENT,LEGITIMATE,1500,3500,2400,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The amount falls inside the normal bill range. Device/location: Both device and location match established behaviour. Velocity: The single attempt is ordinary.
CASE-007,Small-value card-testing burst,A series of ₹49 online attempts appears within minutes from a new device. The attacker is checking whether the stolen card is active.,RAPID_ATTEMPT_FRAUD,DEVELOPMENT,FRAUDULENT,100,3000,49,MODERATE,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,2,12,HIGH,FAIL,"Amount: The amount is outside the usual range but is intentionally small, so amount alone is weak evidence. Device/location: The online location maps to the customer's city, but the device has not been seen before. Velocity: Twelve attempts greatly exceed the normal hourly maximum."
CASE-008,Remote-control malware on known phone,A fraudulent payment is made through the customer's known phone from the usual location. Device and location therefore look familiar despite the lack of authorization.,KNOWN_DEVICE_FRAUD,DEVELOPMENT,FRAUDULENT,500,5000,4800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The amount is within the upper end of normal spending. Device/location: The compromised phone is physically in the customer's normal area. Velocity: The attacker makes only one attempt to avoid attracting attention.
CASE-009,Customer mistypes verification code,A normal purchase from the customer's usual context is challenged. The customer enters the code incorrectly after confusing two digits.,LEGITIMATE_VERIFICATION_FAIL,DEVELOPMENT,LEGITIMATE,200,3000,900,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,FAIL,Amount: The amount is ordinary for this customer. Device/location: The usual phone and location are present. Velocity: There is no unusual burst of transactions.
CASE-010,New customer without transaction history,The customer buys groceries soon after opening the account. There is no historical amount or velocity baseline yet.,MISSING_EVIDENCE,DEVELOPMENT,LEGITIMATE,,,1200,UNKNOWN,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,,1,UNKNOWN,PASS,"Amount: Without prior transactions, relative amount deviation cannot be calculated. Device/location: The enrolled device is new to the system, while the location matches the declared home area. Velocity: There is no historical hourly maximum for comparison."
