case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,risk_score,verification_requested,final_action,predicted_state,true_state,automatic_correct,reason
CASE-001,DEVELOPMENT,baseline_static_v0.1,MODERATE,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,1,1,0,2,False,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category MODERATE contributed 1 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
CASE-002,DEVELOPMENT,baseline_static_v0.1,NORMAL,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,0,2,0,2,False,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category NORMAL contributed 0 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
CASE-003,DEVELOPMENT,baseline_static_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,False,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-004,DEVELOPMENT,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,HIGH,0,0,2,2,False,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
CASE-005,DEVELOPMENT,baseline_static_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,ELEVATED,2,2,1,5,False,STOP,FRAUDULENT,FRAUDULENT,True,Amount category HIGH contributed 2 point(s). Device/location category NEW_DEVICE_UNUSUAL_LOCATION contributed 2 point(s). Velocity category ELEVATED contributed 1 point(s). The total risk score was 5 out of 6. The selected action was STOP.
CASE-006,DEVELOPMENT,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,False,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-007,DEVELOPMENT,baseline_static_v0.1,MODERATE,NEW_DEVICE_USUAL_LOCATION,HIGH,1,1,2,4,False,STOP,FRAUDULENT,FRAUDULENT,True,Amount category MODERATE contributed 1 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 4 out of 6. The selected action was STOP.
CASE-008,DEVELOPMENT,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,False,APPROVE,LEGITIMATE,FRAUDULENT,False,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-009,DEVELOPMENT,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,False,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-010,DEVELOPMENT,baseline_static_v0.1,UNKNOWN,NEW_DEVICE_USUAL_LOCATION,UNKNOWN,1,1,1,3,False,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category UNKNOWN contributed 1 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category UNKNOWN contributed 1 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
