case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,verification_independence_if_requested,category_reasoning
P2-001,Independent confirmation for laptop,The customer buys a work laptop and confirms through a separate trusted channel.,LARGE_PURCHASE,DEVELOPMENT,LEGITIMATE,500,5000,72000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Amount is far above history; device and location are familiar; activity is normal; confirmation uses a separate channel.
P2-002,Remote-access purchase,A scammer controls the customer's known phone and completes verification inside the same session.,MISLEADING_VERIFICATION,DEVELOPMENT,FRAUDULENT,300,3000,28000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,Amount is high; context looks familiar; same-session PASS may share the compromise.
P2-003,Same-phone emergency booking,The customer makes an unusual urgent booking and verifies on the same phone.,CONFLICTING_EVIDENCE,DEVELOPMENT,LEGITIMATE,500,4000,30000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,The payment is legitimate but the reassuring result is not independent of the transaction phone.
P2-004,New-browser account takeover,An attacker logs in through a new browser and fails the requested identity check.,ACCOUNT_TAKEOVER,DEVELOPMENT,FRAUDULENT,500,6000,9000,MODERATE,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,3,5,ELEVATED,FAIL,INDEPENDENT,Three mild warnings produce score three and an independent check fails.
P2-005,Traveller hotel deposit,A traveller pays a large hotel deposit from a familiar phone in a new country.,TRAVEL_OR_NEW_DEVICE,DEVELOPMENT,LEGITIMATE,1000,8000,45000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Amount and location are unusual but a separate trusted channel confirms the customer.
P2-006,Monthly utility payment,The customer pays the normal utility bill from home using the usual phone.,ROUTINE_LEGITIMATE,DEVELOPMENT,LEGITIMATE,800,2500,1600,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,All initial evidence is routine and verification should remain hidden.
P2-007,Rapid card testing,An attacker tries several small payments from a new device in a distant location.,CARD_TESTING,DEVELOPMENT,FRAUDULENT,100,2000,900,NORMAL,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,14,HIGH,FAIL,SAME_CHANNEL,The amount is inside the usual range; the new distant device and rapid attempts still create stop-level initial risk.
P2-008,Missing history during shopping,A legitimate customer shops after account history is temporarily unavailable.,MISSING_INFORMATION,DEVELOPMENT,LEGITIMATE,,,4200,UNKNOWN,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,,4,UNKNOWN,INCONCLUSIVE,UNKNOWN,Amount and normal velocity history are unavailable so both comparisons are UNKNOWN; the check does not resolve the case.
P2-009,Familiar-session fraud,A stolen unlocked phone is used for a moderately unusual purchase near the customer's home.,FAMILIAR_CONTEXT_FRAUD,DEVELOPMENT,FRAUDULENT,500,4000,6500,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,Only amount is mildly unusual so current evidence cannot distinguish this fraud from legitimate behaviour.
P2-010,Festival shopping burst,The customer makes many valid purchases during a festival and confirms independently.,HIGH_VELOCITY_LEGITIMATE,DEVELOPMENT,LEGITIMATE,300,5000,2200,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,12,HIGH,PASS,INDEPENDENT,Velocity alone is high and a separate confirmation supports legitimate activity.
