case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,category_reasoning
CASE-011,Monthly mobile recharge,The same monthly recharge is made from the usual device and home location.,CLEAR_LEGITIMATE,EVALUATION,LEGITIMATE,199,799,399,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The recharge is within the established range. Device/location: Both contextual signals are familiar. Velocity: One attempt is normal.
CASE-012,Grocery-delivery reorder,A normal grocery order is placed from home with the known phone.,CLEAR_LEGITIMATE,EVALUATION,LEGITIMATE,500,3500,1850,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,Amount: The basket total is typical for the customer. Device/location: The device and location match previous orders. Velocity: Activity is below the normal maximum.
CASE-013,Regular school-fee instalment,A fee amount similar to earlier instalments is paid from the usual phone and location.,CLEAR_LEGITIMATE,EVALUATION,LEGITIMATE,5000,15000,10000,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The amount matches the customer's established fee-payment range. Device/location: The context is fully familiar. Velocity: Only one payment is attempted.
CASE-014,Airport purchase during planned travel,A normal-sized purchase occurs outside the customer's home area while they travel.,LEGITIMATE_TRAVEL,EVALUATION,LEGITIMATE,200,2000,1200,NORMAL,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,2,NORMAL,PASS,Amount: The amount remains within usual spending. Device/location: The usual phone is used at an airport outside the normal area. Velocity: Two attempts are still within the hourly norm.
CASE-015,New laptop used from home,"The account is accessed from a new laptop, but the payment originates from the customer's usual home location.",CORRELATED_SIGNALS,EVALUATION,LEGITIMATE,500,4000,2600,NORMAL,NEW,USUAL,NEW_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The transaction amount is ordinary. Device/location: Only the device is unfamiliar; the location matches home. Velocity: No rapid activity is present.
CASE-016,Hotel booking while roaming abroad,The known phone is roaming outside the customer's usual country and is used for an urgent hotel extension.,LEGITIMATE_TRAVEL,EVALUATION,LEGITIMATE,1000,8000,18000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The international hotel extension is well above the usual transaction range. Device/location: The device is familiar, but the overseas location is not. Velocity: The customer makes one booking attempt."
CASE-017,First expensive laptop purchase,"A ₹72,000 electronics purchase is made from home using the known phone.",LARGE_LEGITIMATE_PURCHASE,EVALUATION,LEGITIMATE,500,5000,72000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,1,NORMAL,PASS,Amount: The purchase is far beyond past day-to-day spending. Device/location: The transaction occurs in the normal context. Velocity: There is only one attempt.
CASE-018,Urgent hospital deposit,A large payment is made at an unfamiliar hospital during a family emergency.,LARGE_LEGITIMATE_PURCHASE,EVALUATION,LEGITIMATE,500,5000,50000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,"Amount: The deposit is far above the usual amount range. Device/location: The phone is familiar, but the hospital location is new. Velocity: Only one transaction is attempted."
CASE-019,Family wedding venue advance,"A one-time ₹100,000 venue advance is paid from the known phone at the venue.",LARGE_LEGITIMATE_PURCHASE,EVALUATION,LEGITIMATE,1000,10000,100000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,2,1,NORMAL,PASS,Amount: The advance is much larger than historical purchases. Device/location: The customer uses the normal phone at a new merchant location. Velocity: There is no burst of attempts.
CASE-020,Festival-sale shopping across stores,Nine purchases occur within an hour from the normal phone and area. Each is part of a planned sale-day shopping trip.,HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,300,3000,2800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,9,HIGH,PASS,Amount: The current purchase is within the established range. Device/location: The customer remains in the usual shopping area with the known device. Velocity: Nine attempts greatly exceed the normal hourly maximum.
