case_id,policy_name,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_independence_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct
P2-011,baseline_static_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-012,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-013,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,FRAUDULENT,
P2-014,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-015,baseline_static_v0.1,4,STOP,False,0,NOT_REQUESTED,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True
P2-016,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-017,baseline_static_v0.1,5,STOP,False,0,NOT_REQUESTED,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True
P2-018,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,LEGITIMATE,
P2-019,baseline_static_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-020,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,LEGITIMATE,
P2-021,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,FRAUDULENT,
P2-022,baseline_static_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-023,baseline_static_v0.1,1,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-024,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-025,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,FRAUDULENT,
P2-026,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-027,baseline_static_v0.1,6,STOP,False,0,NOT_REQUESTED,NOT_REQUESTED,0,6,STOP,FRAUDULENT,FRAUDULENT,True
P2-028,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,FRAUDULENT,
P2-029,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,FRAUDULENT,
P2-030,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,LEGITIMATE,
P2-031,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,FRAUDULENT,
P2-032,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,LEGITIMATE,
P2-033,baseline_static_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False
P2-034,baseline_static_v0.1,0,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-035,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,FRAUDULENT,
P2-036,baseline_static_v0.1,1,APPROVE,False,0,NOT_REQUESTED,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True
P2-037,baseline_static_v0.1,6,STOP,False,0,NOT_REQUESTED,NOT_REQUESTED,0,6,STOP,FRAUDULENT,FRAUDULENT,True
P2-038,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
P2-039,baseline_static_v0.1,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,3,HUMAN_REVIEW,,FRAUDULENT,
P2-040,baseline_static_v0.1,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,NOT_REQUESTED,0,2,HUMAN_REVIEW,,LEGITIMATE,
