case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_result_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
CASE-001,DEVELOPMENT,policy1_step_up_v0.1,MODERATE,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,1,1,0,2,GET_MORE_EVIDENCE,True,PASS,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
CASE-002,DEVELOPMENT,policy1_step_up_v0.1,NORMAL,NEW_DEVICE_UNUSUAL_LOCATION,NORMAL,0,2,0,2,GET_MORE_EVIDENCE,True,PASS,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
CASE-003,DEVELOPMENT,policy1_step_up_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,GET_MORE_EVIDENCE,True,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
CASE-004,DEVELOPMENT,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,HIGH,0,0,2,2,GET_MORE_EVIDENCE,True,PASS,-1,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 2 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 1. Final action: APPROVE.
CASE-005,DEVELOPMENT,policy1_step_up_v0.1,HIGH,NEW_DEVICE_UNUSUAL_LOCATION,ELEVATED,2,2,1,5,STOP,False,NOT_REQUESTED,0,5,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 5 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 5. Final action: STOP.
CASE-006,DEVELOPMENT,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-007,DEVELOPMENT,policy1_step_up_v0.1,MODERATE,NEW_DEVICE_USUAL_LOCATION,HIGH,1,1,2,4,STOP,False,NOT_REQUESTED,0,4,STOP,FRAUDULENT,FRAUDULENT,True,Initial score 4 produced STOP. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 4. Final action: STOP.
CASE-008,DEVELOPMENT,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,FRAUDULENT,False,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-009,DEVELOPMENT,policy1_step_up_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Initial score 0 produced APPROVE. Verification result: NOT_REQUESTED. Score adjustment: +0. Final score: 0. Final action: APPROVE.
CASE-010,DEVELOPMENT,policy1_step_up_v0.1,UNKNOWN,NEW_DEVICE_USUAL_LOCATION,UNKNOWN,1,1,1,3,GET_MORE_EVIDENCE,True,PASS,-1,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Initial score 3 produced GET_MORE_EVIDENCE. Verification result: PASS. Score adjustment: -1. Final score: 2. Final action: HUMAN_REVIEW.
