case_id,scenario_name,scenario_description,research_scenario,split,true_state,usual_amount_min,usual_amount_max,transaction_amount,amount_deviation,device_status,location_status,device_location_context,normal_max_attempts_1h,recent_attempts_1h,recent_velocity,step_up_result_if_requested,verification_independence_if_requested,category_reasoning
P2-011,Grocery subscription renewal,A normal recurring grocery order is placed from home.,ROUTINE_LEGITIMATE,EVALUATION,LEGITIMATE,800,3500,1800,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Routine amount context and activity.
P2-012,Replacement phone while travelling,The customer uses a replacement phone during domestic travel.,TRAVEL_OR_NEW_DEVICE,EVALUATION,LEGITIMATE,400,5000,2700,NORMAL,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Device and location share one legitimate travel cause.
P2-013,Known-phone remote-control fraud,A remote-access scam controls the usual phone and passes an in-app check.,MISLEADING_VERIFICATION,EVALUATION,FRAUDULENT,500,5000,36000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,The successful check shares the compromised phone.
P2-014,Furniture purchase confirmation,The customer buys furniture and confirms through a separate registered channel.,LARGE_PURCHASE,EVALUATION,LEGITIMATE,1000,9000,68000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Large amount with independent customer confirmation.
P2-015,Low-value card-testing burst,An attacker submits many low-value authorisation attempts.,CARD_TESTING,EVALUATION,FRAUDULENT,100,2500,120,NORMAL,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,2,18,HIGH,FAIL,SAME_CHANNEL,Rapid attempts and new context create high initial risk.
P2-016,Wedding shopping sequence,The customer makes many valid purchases while preparing for a wedding.,HIGH_VELOCITY_LEGITIMATE,EVALUATION,LEGITIMATE,500,8000,3600,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,11,HIGH,PASS,SAME_CHANNEL,High velocity is genuine but verification uses the same phone.
P2-017,Stolen-password takeover,An attacker uses stolen credentials from a new location and device.,ACCOUNT_TAKEOVER,EVALUATION,FRAUDULENT,300,5000,19000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,3,4,ELEVATED,FAIL,INDEPENDENT,Multiple warnings indicate account takeover.
P2-018,New customer with missing history,A legitimate new customer has no usable amount or activity history.,MISSING_INFORMATION,EVALUATION,LEGITIMATE,,,3500,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,INCONCLUSIVE,UNKNOWN,All comparisons are missing and the check is inconclusive.
P2-019,Usual-location wallet theft,A thief uses an unlocked known phone close to the customer's home.,FAMILIAR_CONTEXT_FRAUD,EVALUATION,FRAUDULENT,200,4000,2200,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,Current initial features appear completely normal.
P2-020,Medical travel payment,A customer travelling for treatment makes a high hospital payment.,CONFLICTING_EVIDENCE,EVALUATION,LEGITIMATE,500,6000,52000,HIGH,KNOWN,UNUSUAL,KNOWN_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Strong transaction warnings have a legitimate shared cause and independent confirmation.
P2-021,Same-device takeover with PASS,Malware in the customer's phone authorises an unusual transaction and passes the local check.,CONFLICTING_EVIDENCE,EVALUATION,FRAUDULENT,400,4500,18000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,The PASS is produced inside the compromised environment.
P2-022,Regular streaming renewal,The customer's usual streaming subscription renews normally.,ROUTINE_LEGITIMATE,EVALUATION,LEGITIMATE,200,1500,799,NORMAL,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,Routine recurring behaviour.
P2-023,Family-device misuse,A family member uses the customer's familiar tablet without permission.,FAMILIAR_CONTEXT_FRAUD,EVALUATION,FRAUDULENT,300,3500,5200,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,Only a mild amount warning is visible.
P2-024,Airport booking from new tablet,A traveller books onward transport on a newly purchased tablet.,TRAVEL_OR_NEW_DEVICE,EVALUATION,LEGITIMATE,500,7000,4200,NORMAL,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,3,1,NORMAL,PASS,INDEPENDENT,New device and location arise from travel.
P2-025,Slow card-testing sequence,An attacker makes an elevated sequence of moderate-value attempts.,CARD_TESTING,EVALUATION,FRAUDULENT,200,2500,4300,MODERATE,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,2,6,ELEVATED,FAIL,INDEPENDENT,Two mild warnings request a check which fails.
P2-026,Same-phone appliance purchase,The customer makes a high appliance purchase and verifies in the shopping phone.,CONFLICTING_EVIDENCE,EVALUATION,LEGITIMATE,500,5000,34000,HIGH,KNOWN,USUAL,KNOWN_DEVICE_USUAL_LOCATION,3,1,NORMAL,PASS,SAME_CHANNEL,The transaction is legitimate but the check is not independent.
P2-027,Overseas account takeover,An attacker uses a new device abroad and rapidly attempts purchases.,ACCOUNT_TAKEOVER,EVALUATION,FRAUDULENT,500,6000,24000,HIGH,NEW,UNUSUAL,NEW_DEVICE_UNUSUAL_LOCATION,3,9,HIGH,FAIL,INDEPENDENT,Maximum contextual and activity warnings.
