case_id,split,policy_name,amount_deviation,device_location_context,recent_velocity,amount_points,device_location_points,velocity_points,initial_risk_score,initial_action,verification_requested,verification_request_count,verification_result_observed,verification_score_adjustment,final_risk_score,final_action,predicted_state,true_state,automatic_correct,reason
CASE-011,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-012,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-013,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,0,0,0,0,APPROVE,False,0,NOT_REQUESTED,0,0,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 0 out of 6. The selected action was APPROVE.
CASE-014,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,0,1,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-015,EVALUATION,baseline_static_v0.1,NORMAL,NEW_DEVICE_USUAL_LOCATION,NORMAL,0,1,0,1,APPROVE,False,0,NOT_REQUESTED,0,1,APPROVE,LEGITIMATE,LEGITIMATE,True,Amount category NORMAL contributed 0 point(s). Device/location category NEW_DEVICE_USUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 1 out of 6. The selected action was APPROVE.
CASE-016,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-017,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_USUAL_LOCATION,NORMAL,2,0,0,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
CASE-018,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-019,EVALUATION,baseline_static_v0.1,HIGH,KNOWN_DEVICE_UNUSUAL_LOCATION,NORMAL,2,1,0,3,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,3,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category HIGH contributed 2 point(s). Device/location category KNOWN_DEVICE_UNUSUAL_LOCATION contributed 1 point(s). Velocity category NORMAL contributed 0 point(s). The total risk score was 3 out of 6. The selected action was HUMAN_REVIEW.
CASE-020,EVALUATION,baseline_static_v0.1,NORMAL,KNOWN_DEVICE_USUAL_LOCATION,HIGH,0,0,2,2,HUMAN_REVIEW,False,0,NOT_REQUESTED,0,2,HUMAN_REVIEW,DEFERRED,LEGITIMATE,,Amount category NORMAL contributed 0 point(s). Device/location category KNOWN_DEVICE_USUAL_LOCATION contributed 0 point(s). Velocity category HIGH contributed 2 point(s). The total risk score was 2 out of 6. The selected action was HUMAN_REVIEW.
